time,tpx,px,mpx,tvx,vx,mbax
0.204000,102.101847,102.016506,nan,499.997593,499.997870,-0.039005
0.205000,102.602345,102.516504,nan,499.997571,499.997850,-0.020228
0.206000,103.102843,103.016502,nan,499.997549,499.997852,0.002166
0.207000,103.603340,103.516500,nan,499.997527,499.997846,-0.006621
0.208000,104.103838,104.016498,nan,499.997506,499.997818,-0.027536
0.209000,104.604335,104.516495,nan,499.997484,499.997814,-0.004114
0.210000,105.104832,105.016493,nan,499.997462,499.997800,-0.013612
0.211000,105.605330,105.516491,nan,499.997440,499.997793,-0.007077
0.212000,106.105827,106.016489,nan,499.997418,499.997759,-0.033827
0.213000,106.606325,106.516487,nan,499.997397,499.997784,0.024144
0.214000,107.106822,107.016484,nan,499.997375,499.997742,-0.041175
0.215000,107.607319,107.516482,nan,499.997353,499.997738,-0.004575
0.216000,108.107817,108.016480,nan,499.997331,499.997720,-0.017803
0.217000,108.608314,108.516478,nan,499.997310,499.997703,-0.016784
0.218000,109.108811,109.016475,nan,499.997288,499.997664,-0.039904
0.219000,109.609309,109.516473,nan,499.997266,499.997644,-0.020128
0.220000,110.109806,110.016471,nan,499.997244,499.997644,0.000420
0.221000,110.610303,110.516468,nan,499.997223,499.997622,-0.021900
0.222000,111.110800,111.016466,nan,499.997201,499.997587,-0.035013
0.223000,111.611297,111.516463,nan,499.997179,499.997582,-0.005442
0.224000,112.111795,112.016461,nan,499.997158,499.997549,-0.033505
0.225000,112.612292,112.516458,nan,499.997136,499.997489,-0.059277
0.226000,113.112789,113.016456,nan,499.997114,499.997470,-0.019425
0.227000,113.613286,113.516453,nan,499.997093,499.997454,-0.016382
0.228000,114.113783,114.016451,nan,499.997071,499.997441,-0.013317
0.229000,114.614280,114.516448,nan,499.997049,499.997425,-0.015189
0.230000,115.114777,115.016446,nan,499.997028,499.997397,-0.029027
0.231000,115.615274,115.516443,nan,499.997006,499.997387,-0.009969
0.232000,116.115771,116.016440,nan,499.996984,499.997380,-0.006599
0.233000,116.616268,116.516438,nan,499.996963,499.997342,-0.038568
0.234000,117.116765,117.016435,nan,499.996941,499.997348,0.005551
0.235000,117.617262,117.516432,nan,499.996919,499.997323,-0.025252
0.236000,118.117759,118.016430,nan,499.996898,499.997296,-0.026944
0.237000,118.618256,118.516427,nan,499.996876,499.997275,-0.021521
0.238000,119.118753,119.016424,nan,499.996855,499.997245,-0.030119
0.239000,119.619249,119.516422,nan,499.996833,499.997229,-0.015650
0.240000,120.119746,120.016419,nan,499.996811,499.997212,-0.017217
0.241000,120.620243,120.516416,nan,499.996790,499.997203,-0.009127
0.242000,121.120740,121.016413,nan,499.996768,499.997189,-0.014350
0.243000,121.621236,121.516410,nan,499.996747,499.997179,-0.010848
0.244000,122.121733,122.016408,nan,499.996725,499.997167,-0.012135
0.245000,122.622230,122.516405,nan,499.996704,499.997156,-0.011002
0.246000,123.122727,123.016402,nan,499.996682,499.997126,-0.030258
0.247000,123.623223,123.516399,nan,499.996661,499.997096,-0.030150
0.248000,124.123720,124.016396,nan,499.996639,499.997070,-0.026777
0.249000,124.624216,124.516393,nan,499.996618,499.997043,-0.026620
0.250000,125.124713,125.016390,nan,499.996596,499.997030,-0.013114
0.251000,125.625210,125.516387,nan,499.996575,499.996987,-0.043612
0.252000,126.125706,126.016384,nan,499.996553,499.996960,-0.027815
0.253000,126.626203,126.516381,nan,499.996532,499.996936,-0.023303
0.254000,127.126699,127.016378,nan,499.996510,499.996923,-0.013889
0.255000,127.627196,127.516375,nan,499.996489,499.996898,-0.024708
0.256000,128.127692,128.016372,nan,499.996468,499.996905,0.006530
0.257000,128.628189,128.516369,nan,499.996446,499.996858,-0.047245
0.258000,129.128685,129.016366,nan,499.996425,499.996837,-0.022247
0.259000,129.629181,129.516362,nan,499.996404,499.996814,-0.023431
0.260000,130.129678,130.016359,nan,499.996382,499.996796,-0.017799
0.261000,130.630174,130.516356,nan,499.996361,499.996768,-0.028938
0.262000,131.130671,131.016353,nan,499.996340,499.996716,-0.051680
0.263000,131.631167,131.516349,nan,499.996318,499.996678,-0.039185
0.264000,132.131663,132.016346,nan,499.996297,499.996680,0.001710
0.265000,132.632159,132.516343,nan,499.996276,499.996647,-0.033735
0.266000,133.132656,133.016339,nan,499.996255,499.996602,-0.044804
0.267000,133.633152,133.516336,nan,499.996234,499.996596,-0.006247
0.268000,134.133648,134.016333,nan,499.996213,499.996590,-0.007012
0.269000,134.634144,134.516329,nan,499.996192,499.996568,-0.022629
0.270000,135.134640,135.016326,nan,499.996171,499.996567,-0.001140
0.271000,135.635137,135.516322,nan,499.996150,499.996539,-0.028415
0.272000,136.135633,136.016319,nan,499.996129,499.996533,-0.007088
0.273000,136.636129,136.516315,nan,499.996108,499.996514,-0.019319
0.274000,137.136625,137.016312,nan,499.996087,499.996510,-0.005030
0.275000,137.637121,137.516308,nan,499.996066,499.996487,-0.023060
0.276000,138.137617,138.016305,nan,499.996045,499.996457,-0.030633
0.277000,138.638113,138.516301,nan,499.996024,499.996445,-0.013171
0.278000,139.138609,139.016298,nan,499.996004,499.996426,-0.019055
0.279000,139.639105,139.516294,nan,499.995983,499.996422,-0.004407
0.280000,140.139601,140.016291,nan,499.995962,499.996385,-0.037441
0.281000,140.640097,140.516287,nan,499.995942,499.996378,-0.007653
0.282000,141.140593,141.016283,nan,499.995921,499.996368,-0.011107
0.283000,141.641089,141.516280,nan,499.995900,499.996350,-0.018755
0.284000,142.141585,142.016276,nan,499.995880,499.996353,0.002880
